product_id,name,date,unit,category_name,category_codes,monimi_meiosi,promo,supplier_name,supplier_code,merchant,price
2501,ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ ΕΙΣ ΠΟΙΟΤ Α (ΤΙΜΗ ΚΙΛ. ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Κρεμμύδια, Σκόρδα, Βολβοί","[393, 396, 399]",False,False,Ν/Α,302.0,efresh,1.0933333333333
2501,ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ ΕΙΣ ΠΟΙΟΤ Α (ΤΙΜΗ ΚΙΛ. ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Κρεμμύδια, Σκόρδα, Βολβοί","[393, 396, 399]",False,False,Ν/Α,302.0,synka,0.98
2502,ΚΡΕΜM ΞΕΡΑ ΜΕΤΡΙΑ ΕΓΧ ΠΟΙΟΤ. Α (ΤΙΜ ΚΙΛ. ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Κρεμμύδια, Σκόρδα, Βολβοί","[393, 396, 399]",False,False,Ν/Α,302.0,xalkiadakis,1.45
2502,ΚΡΕΜM ΞΕΡΑ ΜΕΤΡΙΑ ΕΓΧ ΠΟΙΟΤ. Α (ΤΙΜ ΚΙΛ. ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Κρεμμύδια, Σκόρδα, Βολβοί","[393, 396, 399]",False,False,Ν/Α,302.0,efresh,1.0933333333333
2502,ΚΡΕΜM ΞΕΡΑ ΜΕΤΡΙΑ ΕΓΧ ΠΟΙΟΤ. Α (ΤΙΜ ΚΙΛ. ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Κρεμμύδια, Σκόρδα, Βολβοί","[393, 396, 399]",False,False,Ν/Α,302.0,marketin,0.95
2502,ΚΡΕΜM ΞΕΡΑ ΜΕΤΡΙΑ ΕΓΧ ΠΟΙΟΤ. Α (ΤΙΜ ΚΙΛ. ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Κρεμμύδια, Σκόρδα, Βολβοί","[393, 396, 399]",False,False,Ν/Α,302.0,synka,0.95
2503,ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ ΞΑΝΘΑ ΕΙΣ ΠΟΙΟΤ. Α (ΤΚΙΛ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Κρεμμύδια, Σκόρδα, Βολβοί","[393, 396, 399]",False,False,Ν/Α,302.0,xalkiadakis,1.08
2503,ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ ΞΑΝΘΑ ΕΙΣ ΠΟΙΟΤ. Α (ΤΚΙΛ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Κρεμμύδια, Σκόρδα, Βολβοί","[393, 396, 399]",False,False,Ν/Α,302.0,efresh,0.94666666666667
2504,ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ ΞΑΝΘΑ ΕΓΧ ΠΟΙΟΤ Α (Τ. ΚΙΛ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Κρεμμύδια, Σκόρδα, Βολβοί","[393, 396, 399]",False,False,Ν/Α,302.0,xalkiadakis,0.98
2504,ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ ΞΑΝΘΑ ΕΓΧ ΠΟΙΟΤ Α (Τ. ΚΙΛ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Κρεμμύδια, Σκόρδα, Βολβοί","[393, 396, 399]",False,False,Ν/Α,302.0,efresh,0.94666666666667
