CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,ΚΑΤΗΓΟΡΙΑ,PRICE
23,702639,Καρότα,0.98,1.18,702639.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
24,1064,Ραπανάκια  (Σε επιλεγμένα καταστήματα),6.06,6.60,1064.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
25,1019,Λάχανα,0.49,0.52,1019.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
26,1036,Κουνουπίδια,1.89,1.99,1036.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
27,1052,Μπρόκολο,3.31,3.55,1052.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
28,1008,Πιπεριές,2.79,2.79,1008.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
28.1,1325,Πιπεριές χονδρές,1.83,2.15,1325.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
28.2,1131,Πιπεριές μακριές,3.28,4.28,1131.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
29,1027,Μελιτζάνες,1.89,1.89,1027.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
30,1030,Μαϊντανός,3.52,3.82,1030.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
31,1024,’νηθος,6.05,6.30,1024.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
32,1023,Σέλινο,2.74,2.80,1023.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
33,1088,Φασολάκια ,5.65,6.10,1088.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
1,520011772,Σταφύλια,4.45,5.75,3152428_1.jpg,Φρούτα,Kg,,masoutis,02-06-2026,08-06-2026,,
2,210649000,Λεμόνια,2.3,2.3,0317826_1.jpg,Φρούτα,Kg,,masoutis,02-06-2026,08-06-2026,,
3,219851600,Μπανάνες,1.38,1.88,0317990_1.jpg,Φρούτα,Kg,,masoutis,02-06-2026,08-06-2026,,
4,210651800,Πορτοκάλια Βαλέντσια,0.98,1.09,3274826_1.jpg,Φρούτα,Kg,,masoutis,02-06-2026,08-06-2026,,
6,210695600,Αχλάδια,2.4,2.55,0532788_1.jpg,Φρούτα,Kg,,masoutis,02-06-2026,08-06-2026,,
8,521400055,Ρόδια,4.4,4.4,0318360_1.jpg,Φρούτα,Kg,,masoutis,02-06-2026,08-06-2026,,
9,521400277,Μανιτάρια,4.7,6.7,3870631_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
11,219861100,Τομάτες,2.25,2.3,0317560_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
12,521400128,Τοματίνια,3.75,7.9,3599933_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
13,520013367,Αγγούρια,0.45,0.45,0318451_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
14,219814300,Κολοκύθια,1.87,1.87,0317677_1.jpg,Λαχανικά,kg,,masoutis,02-06-2026,08-06-2026,,
15,210685500,Μαρούλια,0.93,0.95,0317719_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
16,520013430,Ρόκα,9.37,9.37,3573615_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
18,843701919,Σκόρδα (κομμάτι),0.34,0.45,0496489_1.jpg,Λαχανικά,τμχ.,,masoutis,02-06-2026,08-06-2026,,
19,219855300,Κρεμμύδια ξερά,0.9,0.98,2152155_1.jpg,Λαχανικά,Kg,,masoutis,02-06-2026,08-06-2026,,
